"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.738,0.382,0.384,9018,14277
1996,1.306,0.394,0.389,16364,14550
1997,1.475,0.397,0.393,18575,14712
1998,1.093,0.388,0.398,13680,14951
1999,1.089,0.391,0.402,14579,15199
2000,1.023,0.415,0.408,13258,15493
2001,0.868,0.403,0.413,11440,15722
2002,0.544,0.403,0.418,7192,16028
2003,1.305,0.432,0.423,18087,16341
2004,1.358,0.436,0.425,19008,16494
2005,1.089,0.424,0.423,15108,16420
2006,1.64,0.432,0.421,23103,16245
2007,1.307,0.42,0.42,18895,16145
2008,1.042,0.417,0.422,14506,16230
2009,1.096,0.435,0.424,15365,16304
2010,1.376,0.421,0.426,19974,16453
2011,1.828,0.44,0.428,28477,16626
2012,1.271,0.451,0.429,17995,16777
2013,1.405,0.445,0.43,20922,16858
2014,1.01,0.415,0.431,14642,16970
2015,0.924,0.422,0.433,13302,17100
2016,0.714,0.409,0.434,10294,17294
