"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.738,0.03076,0.03141,893,1273
1996,1.306,0.02957,0.02915,1349,1181
1997,1.475,0.02748,0.02709,1351,1093
1998,1.093,0.02469,0.02521,1012,1015
1999,1.089,0.02248,0.0234,919,938
2000,1.023,0.02238,0.0218,752,872
2001,0.868,0.01995,0.02026,620,802
2002,0.544,0.01886,0.01895,340,745
2003,1.305,0.01794,0.01774,753,691
2004,1.358,0.0169,0.01657,711,639
2005,1.089,0.01544,0.01548,569,589
2006,1.64,0.01425,0.0143,726,539
2007,1.307,0.01311,0.01311,532,491
2008,1.042,0.01213,0.0122,431,455
2009,1.096,0.01176,0.01151,403,428
2010,1.376,0.01056,0.01086,485,405
2011,1.828,0.01027,0.01027,590,384
2012,1.271,0.00998,0.00979,357,368
2013,1.405,0.00949,0.00935,436,352
2014,1.01,0.00892,0.00889,320,335
2015,0.924,0.0086,0.00857,269,322
2016,0.714,0.00804,0.00823,212,311
