"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.586,0.0462,0.0463,776,1060
1996,0.907,0.0444,0.0447,1164,1016
1997,0.903,0.0434,0.0431,1139,972
1998,0.837,0.0409,0.0417,985,933
1999,0.592,0.0418,0.0404,682,895
2000,0.783,0.0378,0.0391,885,856
2001,0.66,0.0375,0.0377,703,813
2002,0.376,0.0407,0.0366,463,778
2003,0.765,0.0349,0.0358,763,757
2004,0.837,0.0336,0.0352,814,740
2005,0.778,0.0344,0.0349,713,730
2006,1.223,0.0319,0.0348,1227,726
2007,0.71,0.0346,0.0346,673,724
2008,0.782,0.0334,0.0342,736,723
2009,0.905,0.031,0.0335,861,717
2010,0.664,0.0339,0.0329,609,713
2011,0.83,0.0322,0.0327,800,713
2012,0.824,0.0326,0.0327,774,716
2013,0.808,0.0316,0.0327,836,718
2014,0.716,0.0323,0.0327,676,720
2015,0.572,0.034,0.0327,563,722
2016,0.472,0.036,0.0327,482,725
