"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.02,0.184,0.182,29298,36820
1996,5.04,0.187,0.186,34527,37563
1997,6.15,0.192,0.189,42320,38345
1998,6.12,0.192,0.193,44769,39215
1999,4.7,0.195,0.197,39597,40290
2000,5.06,0.203,0.2,34992,41148
2001,4.43,0.201,0.204,33813,42013
2002,2.32,0.19,0.207,15763,42700
2003,5.92,0.207,0.209,43325,43447
2004,6.24,0.217,0.212,46029,44472
2005,5.79,0.223,0.216,51584,45616
2006,8.91,0.227,0.221,69821,47006
2007,6.45,0.228,0.222,54711,47538
2008,5.51,0.215,0.22,54063,47114
2009,6.48,0.218,0.216,50950,46226
2010,6.78,0.222,0.213,64826,45299
2011,7.99,0.199,0.208,56263,44119
2012,5.17,0.214,0.202,37381,42926
2013,6.03,0.191,0.197,42035,41787
2014,5.31,0.19,0.192,40716,40719
2015,4.35,0.187,0.186,31075,39669
2016,3.37,0.179,0.181,26264,38645
