"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,2.9,2.93,2.82,231711,253502
1996,4.38,2.53,2.81,271674,253270
1997,4.24,2.46,2.81,273851,253013
1998,3.95,2.64,2.8,258322,252949
1999,3.1,3.08,2.79,231972,252958
2000,3.66,2.65,2.79,254016,253087
2001,2.83,3.24,2.78,224419,253207
2002,1.83,3.98,2.78,193262,254401
2003,4.1,2.56,2.76,268825,255287
2004,4.05,2.5,2.73,271200,256208
2005,3.97,2.51,2.69,267447,255551
2006,6.09,2.12,2.65,329887,253329
2007,3.79,2.57,2.61,251881,251113
2008,3.63,2.63,2.58,245579,250009
2009,4.43,2.27,2.57,288926,249863
2010,3.66,2.49,2.51,244106,247395
2011,4.64,2.37,2.44,266584,242583
2012,4.03,2.23,2.36,259075,237272
2013,3.92,2.25,2.29,237020,231345
2014,3.28,2.32,2.21,204148,225251
2015,2.94,2.29,2.14,187689,219018
2016,2.2,2.34,2.06,151155,212677
