"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.684,0.712,25680,44338
1996,2.075,0.719,0.722,50824,45469
1997,2.537,0.761,0.732,66259,46509
1998,1.839,0.719,0.743,45778,47594
1999,1.58,0.709,0.753,43448,48623
2000,1.473,0.771,0.762,37025,49598
2001,1.299,0.737,0.77,33689,50373
2002,0.864,0.716,0.781,21656,51204
2003,2.045,0.82,0.795,56508,52001
2004,2.316,0.853,0.807,69229,52614
2005,1.821,0.824,0.816,52064,52814
2006,2.834,0.868,0.823,86681,52977
2007,2.489,0.854,0.831,77649,53122
2008,1.687,0.833,0.84,49596,53566
2009,1.827,0.851,0.846,53063,53876
2010,2.397,0.866,0.852,77933,54312
2011,2.665,0.871,0.858,84961,54903
2012,1.593,0.892,0.861,46200,55421
2013,1.605,0.858,0.864,47629,55839
2014,1.465,0.836,0.866,44272,56271
2015,1.36,0.857,0.869,41215,56667
2016,1.107,0.85,0.871,33436,57117
