"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.92,3.11,2.771,374619,423512
1996,7.25,2.615,2.725,430894,417331
1997,8.1,2.393,2.686,465195,411387
1998,7.53,2.615,2.648,419150,406102
1999,5.73,3.09,2.612,358313,401211
2000,6.53,2.345,2.577,402720,396847
2001,5.97,2.716,2.548,362135,392845
2002,2.99,3.433,2.527,266613,390323
2003,7.87,2.171,2.508,425056,388207
2004,7.42,2.28,2.473,409640,384335
2005,6.67,2.308,2.406,383631,374318
2006,11.28,1.757,2.306,448192,360749
2007,8.1,1.998,2.17,371972,343974
2008,6.41,2.069,1.982,309610,320329
2009,7.56,1.549,1.745,315622,289883
2010,7.83,1.453,1.505,273849,257436
2011,9.37,1.189,1.307,261858,227551
2012,7.12,1.082,1.134,209021,200658
2013,6.56,0.984,0.985,173340,176567
2014,5.83,0.915,0.855,140776,155454
2015,5.33,0.796,0.744,119472,137097
2016,4.05,0.734,0.648,90102,121231
