"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,339,0.334,0.309,3514493,4570370
1996,706,0.295,0.314,5538600,4639968
1997,590,0.305,0.318,5102053,4713406
1998,543,0.324,0.323,4924294,4786434
1999,398,0.352,0.328,4049023,4862363
2000,567,0.32,0.334,5256589,4940891
2001,452,0.368,0.34,4486906,5027471
2002,383,0.383,0.344,4048734,5114993
2003,456,0.365,0.348,4695177,5182107
2004,562,0.349,0.35,5308330,5214343
2005,501,0.356,0.35,5034428,5192187
2006,749,0.305,0.345,6357800,5120263
2007,582,0.333,0.338,5261090,5020183
2008,662,0.304,0.331,5770419,4917173
2009,605,0.301,0.323,5330081,4822959
2010,519,0.312,0.315,4703524,4726202
2011,748,0.283,0.306,5723357,4626569
2012,486,0.296,0.298,4225985,4522732
2013,522,0.292,0.29,4364094,4423761
2014,513,0.29,0.283,4234761,4329872
2015,457,0.287,0.277,3804355,4244055
2016,409,0.275,0.27,3549595,4163517
