"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.586,0.39,0.436,8330,18720
1996,0.907,0.471,0.435,20766,18472
1997,0.903,0.521,0.436,20366,18260
1998,0.837,0.423,0.436,13468,18030
1999,0.592,0.394,0.435,10197,17752
2000,0.783,0.417,0.43,11361,17125
2001,0.66,0.378,0.425,10184,16570
2002,0.376,0.336,0.426,4215,16208
2003,0.765,0.424,0.431,12283,16308
2004,0.837,0.463,0.434,14932,16249
2005,0.778,0.437,0.437,12861,16205
2006,1.223,0.599,0.442,76513,16260
2007,0.71,0.423,0.443,11228,16154
2008,0.782,0.441,0.438,15406,15971
2009,0.905,0.475,0.432,22047,15800
2010,0.664,0.406,0.429,11371,15810
2011,0.83,0.454,0.428,25656,15816
2012,0.824,0.445,0.426,15500,15754
2013,0.808,0.431,0.424,15621,15653
2014,0.716,0.407,0.421,12200,15546
2015,0.572,0.387,0.419,8278,15442
2016,0.472,0.367,0.417,6382,15344
