"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,24.2,0.838,0.751,520274,579530
1996,42.6,0.64,0.743,648004,574263
1997,41.4,0.637,0.736,635143,569359
1998,34.7,0.692,0.73,595799,565401
1999,24.9,0.83,0.725,492600,562014
2000,33.7,0.632,0.719,594181,559060
2001,26.2,0.798,0.712,496490,555276
2002,14.2,0.997,0.701,373971,552208
2003,32.3,0.657,0.69,561471,552106
2004,37,0.602,0.679,602174,551452
2005,31.6,0.658,0.663,548690,544782
2006,47.7,0.543,0.641,651333,531685
2007,33.8,0.617,0.615,517524,515026
2008,34.9,0.578,0.588,517299,495963
2009,37.9,0.492,0.561,532583,475644
2010,34.9,0.531,0.535,471600,455895
2011,47.4,0.451,0.512,525316,437169
2012,33.2,0.478,0.489,426788,419271
2013,33.7,0.453,0.468,411342,401978
2014,28.9,0.46,0.447,362966,385501
2015,25.1,0.449,0.428,327647,369811
2016,16.8,0.502,0.409,246861,354880
