"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.738,0.17,0.165,4811,6698
1996,1.306,0.167,0.167,7928,6828
1997,1.475,0.173,0.169,8436,6962
1998,1.093,0.168,0.171,7043,7099
1999,1.089,0.172,0.173,7553,7264
2000,1.023,0.174,0.176,5912,7439
2001,0.868,0.172,0.179,5645,7576
2002,0.544,0.172,0.181,3039,7744
2003,1.305,0.181,0.182,8116,7909
2004,1.358,0.187,0.181,8755,7956
2005,1.089,0.184,0.18,7636,7894
2006,1.64,0.184,0.177,10780,7751
2007,1.307,0.186,0.176,8474,7647
2008,1.042,0.175,0.176,7597,7660
2009,1.096,0.178,0.177,6878,7698
2010,1.376,0.184,0.179,10629,7786
2011,1.828,0.181,0.18,12906,7877
2012,1.271,0.198,0.182,8250,7954
2013,1.405,0.185,0.183,9387,8007
2014,1.01,0.173,0.184,6826,8061
2015,0.924,0.182,0.185,6560,8119
2016,0.714,0.18,0.186,5553,8169
