"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.02,0.151,0.156,18172,26823
1996,5.04,0.161,0.159,23951,27330
1997,6.15,0.167,0.162,33019,27779
1998,6.12,0.16,0.165,28603,28283
1999,4.7,0.167,0.168,23279,28722
2000,5.06,0.178,0.172,26657,29356
2001,4.43,0.171,0.175,21976,29883
2002,2.32,0.167,0.179,12111,30586
2003,5.92,0.186,0.183,32931,31250
2004,6.24,0.196,0.187,37759,31914
2005,5.79,0.186,0.191,31801,32382
2006,8.91,0.207,0.196,57513,33065
2007,6.45,0.196,0.2,38654,33800
2008,5.51,0.201,0.203,32703,34629
2009,6.48,0.219,0.204,43600,35048
2010,6.78,0.197,0.204,39647,35556
2011,7.99,0.224,0.205,60566,36141
2012,5.17,0.211,0.207,35463,36722
2013,6.03,0.22,0.209,44332,37080
2014,5.31,0.196,0.211,32986,37565
2015,4.35,0.2,0.213,27371,38211
2016,3.37,0.187,0.216,19837,38931
