"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,2.9,4.05,3.94,338546,380270
1996,4.38,3.55,3.88,409577,374449
1997,4.24,3.47,3.83,412915,368606
1998,3.95,3.57,3.78,370123,363116
1999,3.1,4.02,3.73,323736,357651
2000,3.66,3.52,3.67,349214,352056
2001,2.83,4.08,3.62,293994,345409
2002,1.83,4.82,3.56,239986,339412
2003,4.1,3.29,3.51,355614,335464
2004,4.05,3.21,3.45,354948,332931
2005,3.97,3.19,3.4,344154,330152
2006,6.09,2.77,3.36,442901,327964
2007,3.79,3.28,3.34,328081,326945
2008,3.63,3.38,3.32,322897,327795
2009,4.43,2.95,3.32,378547,329256
2010,3.66,3.25,3.27,321303,327706
2011,4.64,3.08,3.19,362098,322569
2012,4.03,2.99,3.11,342358,317153
2013,3.92,2.97,3.04,322137,311205
2014,3.28,3.09,2.96,279131,305172
2015,2.94,3.09,2.88,256395,298831
2016,2.2,3.19,2.79,207525,292195
