"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.421,0.448,18770,29088
1996,2.075,0.453,0.453,33446,29616
1997,2.537,0.485,0.459,42928,30130
1998,1.839,0.456,0.466,31808,30674
1999,1.58,0.422,0.473,28311,31179
2000,1.473,0.492,0.48,23869,31611
2001,1.299,0.466,0.484,22388,31851
2002,0.864,0.437,0.493,12925,32099
2003,2.045,0.523,0.509,35411,32636
2004,2.316,0.548,0.525,41344,33174
2005,1.821,0.546,0.537,34727,33452
2006,2.834,0.551,0.544,50469,33643
2007,2.489,0.566,0.549,46012,33883
2008,1.687,0.552,0.554,34068,34348
2009,1.827,0.553,0.558,33496,34884
2010,2.397,0.583,0.564,51930,35554
2011,2.665,0.563,0.569,51067,36236
2012,1.593,0.605,0.573,31428,36842
2013,1.605,0.565,0.576,31566,37319
2014,1.465,0.554,0.578,29710,37787
2015,1.36,0.577,0.581,29087,38250
2016,1.107,0.576,0.583,24574,38724
