"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.586,0.255,0.278,5096,9779
1996,0.907,0.299,0.281,11612,9833
1997,0.903,0.325,0.285,11621,9895
1998,0.837,0.283,0.288,8538,9952
1999,0.592,0.269,0.291,6246,9981
2000,0.783,0.289,0.292,7738,9860
2001,0.66,0.269,0.293,6841,9750
2002,0.376,0.246,0.298,3132,9765
2003,0.765,0.304,0.305,8477,9939
2004,0.837,0.33,0.309,10136,10033
2005,0.778,0.311,0.312,8704,10079
2006,1.223,0.402,0.315,35996,10137
2007,0.71,0.303,0.314,7828,10089
2008,0.782,0.315,0.311,10122,9987
2009,0.905,0.338,0.307,13032,9867
2010,0.664,0.291,0.307,7499,9852
2011,0.83,0.321,0.309,14300,9875
2012,0.824,0.319,0.31,9959,9888
2013,0.808,0.321,0.311,10692,9877
2014,0.716,0.307,0.311,8573,9873
2015,0.572,0.291,0.312,6038,9873
2016,0.472,0.28,0.313,4645,9888
