"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.412,0.439,18406,28550
1996,2.075,0.444,0.444,32892,29119
1997,2.537,0.477,0.451,42326,29671
1998,1.839,0.449,0.459,31379,30250
1999,1.58,0.416,0.467,27961,30788
2000,1.473,0.485,0.474,23559,31248
2001,1.299,0.46,0.479,22133,31509
2002,0.864,0.432,0.488,12787,31775
2003,2.045,0.519,0.504,35119,32345
2004,2.316,0.543,0.52,40996,32884
2005,1.821,0.541,0.531,34456,33176
2006,2.834,0.547,0.539,50074,33373
2007,2.489,0.56,0.544,45659,33629
2008,1.687,0.547,0.548,33837,34107
2009,1.827,0.548,0.552,33232,34636
2010,2.397,0.574,0.558,51626,35293
2011,2.665,0.558,0.563,50627,35960
2012,1.593,0.597,0.567,31145,36551
2013,1.605,0.56,0.57,31275,37015
2014,1.465,0.549,0.572,29430,37470
2015,1.36,0.571,0.575,28839,37919
2016,1.107,0.569,0.577,24326,38379
