"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.92,3.76,3.43,479422,575205
1996,7.25,3.28,3.4,593328,569941
1997,8.1,3.07,3.37,648142,564520
1998,7.53,3.29,3.34,586988,559624
1999,5.73,3.8,3.31,492583,554800
2000,6.53,3.03,3.28,545087,550392
2001,5.97,3.43,3.25,495847,546566
2002,2.99,4.24,3.24,337966,544386
2003,7.87,2.86,3.21,596194,538847
2004,7.42,2.93,3.15,567596,530387
2005,6.67,2.94,3.05,517167,512084
2006,11.28,2.35,2.91,669360,490643
2007,8.1,2.56,2.73,520386,467643
2008,6.41,2.61,2.52,422012,440477
2009,7.56,2.07,2.27,444188,408282
2010,7.83,1.98,2.03,413137,374256
2011,9.37,1.7,1.82,425581,341508
2012,7.12,1.58,1.63,322149,310882
2013,6.56,1.46,1.46,275725,282420
2014,5.83,1.37,1.31,226272,256910
2015,5.33,1.23,1.18,192750,234124
2016,4.05,1.15,1.07,142855,213919
