"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,16.7,0.775,0.727,316893,401437
1996,26.4,0.667,0.729,502204,410755
1997,26.6,0.732,0.731,513116,418796
1998,25.2,0.719,0.734,485859,425238
1999,17.6,0.822,0.736,361745,431325
2000,20.6,0.692,0.738,408667,437059
2001,17.5,0.745,0.737,351159,439208
2002,10,0.778,0.733,211541,440824
2003,23.8,0.69,0.727,477621,440003
2004,24.7,0.682,0.718,495108,438471
2005,24.1,0.731,0.71,478097,433263
2006,33.1,0.653,0.701,636310,426321
2007,22.8,0.702,0.691,430563,418529
2008,21.9,0.699,0.681,421495,412072
2009,26.2,0.62,0.669,487984,404589
2010,22,0.666,0.655,398103,398083
2011,28.9,0.613,0.641,522493,391798
2012,21,0.611,0.628,376384,386404
2013,21.6,0.591,0.615,379695,380013
2014,18.1,0.62,0.603,312295,374263
2015,16.2,0.607,0.59,278304,368512
2016,12,0.619,0.578,207394,363279
