"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.92,0.524,0.51,80187,103930
1996,7.25,0.498,0.507,108725,103196
1997,8.1,0.471,0.505,117746,102479
1998,7.53,0.488,0.504,110700,101888
1999,5.73,0.534,0.502,88287,101307
2000,6.53,0.486,0.499,96274,100793
2001,5.97,0.52,0.499,90643,100515
2002,2.99,0.625,0.507,52966,101681
2003,7.87,0.489,0.509,114482,101813
2004,7.42,0.476,0.507,108154,101559
2005,6.67,0.48,0.495,96880,98558
2006,11.28,0.437,0.477,150496,95025
2007,8.1,0.442,0.454,107453,91469
2008,6.41,0.44,0.43,83718,88099
2009,7.56,0.398,0.413,93531,85325
2010,7.83,0.394,0.397,96184,82929
2011,9.37,0.38,0.383,111638,80583
2012,7.12,0.359,0.369,79836,78154
2013,6.56,0.357,0.355,73791,75690
2014,5.83,0.35,0.343,62579,73514
2015,5.33,0.333,0.332,54842,71586
2016,4.05,0.323,0.322,40577,69909
