"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,2.9,3.08,2.96,247343,268176
1996,4.38,2.63,2.94,285337,266541
1997,4.24,2.56,2.92,286953,264880
1998,3.95,2.72,2.9,269222,263394
1999,3.1,3.16,2.88,241304,261982
2000,3.66,2.72,2.85,262087,260733
2001,2.83,3.3,2.84,230091,259595
2002,1.83,4.01,2.83,195897,260179
2003,4.1,2.61,2.8,274884,260595
2004,4.05,2.54,2.77,276077,260818
2005,3.97,2.54,2.73,272136,259740
2006,6.09,2.15,2.69,334258,258080
2007,3.79,2.62,2.66,258166,256953
2008,3.63,2.69,2.65,253007,257122
2009,4.43,2.34,2.64,296667,257944
2010,3.66,2.56,2.59,252179,255466
2011,4.64,2.43,2.51,274319,250023
2012,4.03,2.3,2.43,264520,244281
2013,3.92,2.32,2.36,244219,237981
2014,3.28,2.39,2.28,211656,231513
2015,2.94,2.36,2.2,194179,224833
2016,2.2,2.42,2.11,157582,217949
