"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.42,4.18,3.71,972592,1112488
1996,19.53,2.89,3.39,1176083,1045133
1997,20.26,2.54,3.1,1136024,980924
1998,15.82,2.88,2.83,915406,921369
1999,13.17,3.12,2.59,786165,866054
2000,15.03,2.02,2.38,786925,816216
2001,13.83,2.39,2.18,697868,771189
2002,7.7,2.6,2,464440,732706
2003,17.36,1.62,1.83,735827,695884
2004,17.09,1.52,1.67,696549,657569
2005,13.73,1.61,1.54,558527,615213
2006,24.52,1.25,1.44,812660,578108
2007,16.57,1.37,1.36,559304,548197
2008,16.49,1.25,1.29,548223,525027
2009,17.71,1.09,1.24,562940,507457
2010,16.24,1.25,1.2,505980,497408
2011,26.22,1.04,1.17,740655,492364
2012,14.28,1.13,1.15,452158,487365
2013,16.28,1.06,1.13,490594,481462
2014,14.86,1.14,1.11,442722,476233
2015,12.47,1.14,1.09,384139,471639
2016,9.08,1.22,1.07,294978,467842
