"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.738,0.00886,0.0095,265.3,422.2
1996,1.306,0.00871,0.00828,429.6,364.8
1997,1.475,0.00762,0.00726,407.8,319.4
1998,1.093,0.00625,0.00633,271.8,277.7
1999,1.089,0.00526,0.00556,241.7,242.7
2000,1.023,0.00494,0.00485,168.1,209.1
2001,0.868,0.0041,0.00426,135.3,180.5
2002,0.544,0.00347,0.00373,67.4,155.7
2003,1.305,0.00334,0.00325,146.6,134.1
2004,1.358,0.00282,0.00272,125.1,110.4
2005,1.089,0.00222,0.00223,80.6,88.2
2006,1.64,0.00194,0.0019,102.5,72.2
2007,1.307,0.00171,0.00172,72.8,62.8
2008,1.042,0.00161,0.00163,52.1,58.8
2009,1.096,0.00164,0.00158,54.4,56.5
2010,1.376,0.00153,0.00155,68.3,55.9
2011,1.828,0.00155,0.00154,95,56.4
2012,1.271,0.00161,0.00153,56,56.7
2013,1.405,0.00157,0.00151,71.8,56.4
2014,1.01,0.00146,0.00149,52.2,56.1
2015,0.924,0.00146,0.00147,45.1,55.9
2016,0.714,0.00139,0.00146,35.6,55.8
