"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,16.7,0.185,0.185,82064,117677
1996,26.4,0.187,0.19,150641,121953
1997,26.6,0.198,0.195,159033,125537
1998,25.2,0.197,0.199,143615,128568
1999,17.6,0.21,0.204,97385,131359
2000,20.6,0.203,0.208,120893,134695
2001,17.5,0.209,0.213,104554,137291
2002,10,0.212,0.217,62102,140162
2003,23.8,0.222,0.222,158500,143500
2004,24.7,0.228,0.226,173823,146346
2005,24.1,0.232,0.228,157489,147989
2006,33.1,0.239,0.23,261735,149599
2007,22.8,0.233,0.232,155326,151107
2008,21.9,0.234,0.233,150606,152572
2009,26.2,0.238,0.233,193541,151830
2010,22,0.231,0.23,142526,149602
2011,28.9,0.229,0.226,214550,147217
2012,21,0.224,0.223,146280,145242
2013,21.6,0.218,0.22,149402,142670
2014,18.1,0.213,0.216,108461,140340
2015,16.2,0.21,0.213,96458,138058
2016,12,0.205,0.21,65862,136165
