"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,24.2,0.345,0.327,225166,300243
1996,42.6,0.309,0.336,374739,311668
1997,41.4,0.318,0.345,388306,322302
1998,34.7,0.334,0.352,335827,332709
1999,24.9,0.38,0.359,269622,342413
2000,33.7,0.354,0.363,374134,351592
2001,26.2,0.386,0.365,293658,359094
2002,14.2,0.423,0.365,183001,360990
2003,32.3,0.362,0.358,364523,356014
2004,37,0.342,0.349,387709,349978
2005,31.6,0.326,0.337,310678,339986
2006,47.7,0.324,0.323,492721,328656
2007,33.8,0.309,0.311,322936,316915
2008,34.9,0.3,0.3,319549,306933
2009,37.9,0.294,0.292,356809,298946
2010,34.9,0.287,0.289,295987,295672
2011,47.4,0.296,0.289,479054,296216
2012,33.2,0.298,0.289,322367,297604
2013,33.7,0.287,0.29,310679,298723
2014,28.9,0.283,0.291,252228,300243
2015,25.1,0.286,0.292,222944,302021
2016,16.8,0.292,0.293,148256,304379
