"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.162,0.17,4993,9221
1996,2.075,0.17,0.17,10129,9277
1997,2.537,0.171,0.169,13037,9291
1998,1.839,0.159,0.169,8159,9333
1999,1.58,0.162,0.169,7993,9384
2000,1.473,0.173,0.169,7891,9459
2001,1.299,0.165,0.17,6176,9556
2002,0.864,0.171,0.173,5008,9703
2003,2.045,0.181,0.176,11348,9797
2004,2.316,0.184,0.179,12851,9867
2005,1.821,0.178,0.18,9163,9803
2006,2.834,0.191,0.182,16617,9876
2007,2.489,0.183,0.186,13799,10046
2008,1.687,0.189,0.189,8705,10244
2009,1.827,0.204,0.19,11708,10358
2010,2.397,0.179,0.19,12006,10431
2011,2.665,0.199,0.189,17355,10473
2012,1.593,0.194,0.187,9233,10504
2013,1.605,0.194,0.186,9933,10480
2014,1.465,0.178,0.185,8345,10495
2015,1.36,0.177,0.185,7184,10522
2016,1.107,0.174,0.185,5561,10589
