"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,16.7,0.286,0.277,118935,160311
1996,26.4,0.264,0.281,200269,165192
1997,26.6,0.284,0.285,209608,169168
1998,25.2,0.282,0.288,191974,172463
1999,17.6,0.313,0.292,135675,175449
2000,20.6,0.283,0.294,164522,178835
2001,17.5,0.3,0.296,142566,180967
2002,10,0.3,0.295,85317,182775
2003,23.8,0.29,0.294,202868,185420
2004,24.7,0.293,0.293,219026,187487
2005,24.1,0.293,0.292,203288,188316
2006,33.1,0.295,0.292,310848,189217
2007,22.8,0.291,0.291,195989,189710
2008,21.9,0.293,0.291,189472,189729
2009,26.2,0.289,0.287,232675,186743
2010,22,0.279,0.281,176913,181570
2011,28.9,0.278,0.273,249337,175932
2012,21,0.264,0.267,169535,171003
2013,21.6,0.262,0.26,171913,165459
2014,18.1,0.252,0.253,127497,160190
2015,16.2,0.246,0.246,112012,154975
2016,12,0.239,0.239,77676,150189
