"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,24.2,0.0771,0.0782,57287,67907
1996,42.6,0.064,0.0789,75509,67878
1997,41.4,0.0622,0.0794,72646,67683
1998,34.7,0.0693,0.0799,69797,67422
1999,24.9,0.091,0.0801,58923,67011
2000,33.7,0.0755,0.0802,70118,66379
2001,26.2,0.1019,0.08,62119,65420
2002,14.2,0.1414,0.0784,51316,63622
2003,32.3,0.0734,0.0744,62343,61029
2004,37,0.0609,0.0694,61050,58107
2005,31.6,0.0587,0.0636,52847,54271
2006,47.7,0.0485,0.0575,63643,50173
2007,33.8,0.0517,0.0519,46451,46267
2008,34.9,0.0467,0.0466,44407,42761
2009,37.9,0.041,0.0425,47618,39959
2010,34.9,0.0385,0.0405,37955,38510
2011,47.4,0.0386,0.0394,52580,37596
2012,33.2,0.038,0.0383,36609,36683
2013,33.7,0.0378,0.0372,39742,35692
2014,28.9,0.0368,0.0362,32048,34743
2015,25.1,0.0361,0.0353,27734,33836
2016,16.8,0.0365,0.0345,19161,33003
