"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.0387,0.0402,1162,2221
1996,2.075,0.035,0.0361,2285,2083
1997,2.537,0.0333,0.0327,2961,1956
1998,1.839,0.0287,0.0297,1653,1846
1999,1.58,0.0266,0.0271,1643,1748
2000,1.473,0.0238,0.025,1128,1656
2001,1.299,0.023,0.0232,1010,1568
2002,0.864,0.0217,0.0222,690,1512
2003,2.045,0.0216,0.0212,1582,1450
2004,2.316,0.021,0.0203,1799,1379
2005,1.821,0.0193,0.0196,1182,1297
2006,2.834,0.02,0.0187,2177,1205
2007,2.489,0.0178,0.0178,1518,1091
2008,1.687,0.0167,0.017,829,984
2009,1.827,0.0172,0.0165,1107,904
2010,2.397,0.0154,0.0162,897,842
2011,2.665,0.0161,0.0159,1316,813
2012,1.593,0.0166,0.0155,676,781
2013,1.605,0.0156,0.0151,765,746
2014,1.465,0.0142,0.0147,593,715
2015,1.36,0.0145,0.0143,500,686
2016,1.107,0.0143,0.0139,399,669
