"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.92,3.038,2.703,363989,412238
1996,7.25,2.551,2.661,420180,406765
1997,8.1,2.338,2.625,453679,401453
1998,7.53,2.563,2.59,410268,396741
1999,5.73,3.032,2.557,350991,392378
2000,6.53,2.292,2.525,393626,388504
2001,5.97,2.661,2.498,354582,384932
2002,2.99,3.356,2.477,260206,382456
2003,7.87,2.126,2.459,416184,380295
2004,7.42,2.234,2.423,401387,376416
2005,6.67,2.262,2.358,375975,366675
2006,11.28,1.722,2.261,439527,353595
2007,8.1,1.96,2.13,364924,337490
2008,6.41,2.033,1.947,304112,314601
2009,7.56,1.521,1.715,310036,284951
2010,7.83,1.429,1.481,269610,253291
2011,9.37,1.171,1.287,257733,224107
2012,7.12,1.066,1.118,206016,197817
2013,6.56,0.97,0.972,170996,174244
2014,5.83,0.903,0.844,139066,153566
2015,5.33,0.787,0.735,118143,135573
2016,4.05,0.725,0.641,89243,120009
