"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,4.02,0.007915,0.008189,1103.8,1644
1996,5.04,0.007224,0.007233,1263.2,1461
1997,6.15,0.006772,0.006378,1538.6,1294
1998,6.12,0.005644,0.00563,1243.5,1139
1999,4.7,0.004887,0.004947,839,992
2000,5.06,0.004316,0.004375,728,872
2001,4.43,0.003773,0.003869,597.8,771
2002,2.32,0.003212,0.003426,251.9,671
2003,5.92,0.00303,0.003031,616,576
2004,6.24,0.002658,0.00262,553.3,487
2005,5.79,0.002235,0.002169,407.9,388
2006,8.91,0.001804,0.001831,499.1,304
2007,6.45,0.00163,0.001609,289.5,252
2008,5.51,0.001458,0.001453,215.4,220
2009,6.48,0.001267,0.001334,237.9,197
2010,6.78,0.001271,0.001242,211.2,181
2011,7.99,0.001082,0.001169,228.1,171
2012,5.17,0.001155,0.001102,157.1,162
2013,6.03,0.001008,0.001039,162,153
2014,5.31,0.000968,0.00098,136.3,144
2015,4.35,0.000953,0.000925,112.6,136
2016,3.37,9e-04,0.000873,83.5,129
