"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,26.4,0.429,0.41,361966,436281
1996,43.7,0.388,0.407,495966,438134
1997,46.1,0.374,0.406,519478,439751
1998,45.6,0.39,0.404,512838,442493
1999,31.4,0.406,0.404,401706,445779
2000,36.3,0.402,0.403,454407,449524
2001,32.4,0.424,0.401,398139,451554
2002,18.5,0.448,0.398,256606,452705
2003,41.8,0.399,0.398,502125,454907
2004,38.8,0.406,0.4,469914,460706
2005,41,0.379,0.4,518420,464905
2006,54.3,0.386,0.396,616914,463956
2007,42,0.376,0.39,494322,456430
2008,37.6,0.375,0.381,433041,441999
2009,45,0.371,0.37,514672,424980
2010,44.3,0.339,0.356,443452,409731
2011,44.9,0.352,0.343,436448,394708
2012,36.9,0.338,0.329,394041,380513
2013,35.3,0.335,0.317,352940,366881
2014,30.2,0.308,0.305,296872,354877
2015,26.9,0.3,0.294,271021,344073
2016,22.3,0.289,0.284,232905,334550
