"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.79,0.2,0.206,69904,103955
1996,16.13,0.218,0.213,101950,108012
1997,18.58,0.212,0.221,115520,111865
1998,21.56,0.235,0.229,149115,116224
1999,13.07,0.229,0.237,85774,121018
2000,16.33,0.257,0.246,127208,125869
2001,18.55,0.263,0.254,145752,130196
2002,8.42,0.259,0.265,69603,136075
2003,19.85,0.29,0.277,172821,143397
2004,16.04,0.294,0.288,143969,151340
2005,18.72,0.295,0.297,167809,156622
2006,24.71,0.332,0.305,260234,160319
2007,21.57,0.31,0.308,207388,161188
2008,13.4,0.295,0.306,120916,159205
2009,24.35,0.331,0.299,247401,155571
2010,25.27,0.29,0.292,210809,152466
2011,15.86,0.294,0.286,147436,150867
2012,16.49,0.287,0.281,152363,150300
2013,14.73,0.281,0.275,134405,149097
2014,15.54,0.26,0.27,129680,148360
2015,10.81,0.237,0.266,85278,147685
2016,11.54,0.227,0.261,87077,147547
