"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,57.1,0.174,0.178,286644,448192
1996,110.7,0.186,0.181,619551,457257
1997,100.7,0.184,0.185,563512,465720
1998,74.5,0.19,0.188,403210,476135
1999,67,0.188,0.192,374924,486283
2000,89.9,0.2,0.197,551005,497359
2001,69.1,0.199,0.201,401005,506118
2002,38.6,0.203,0.206,230508,517494
2003,85.6,0.211,0.211,551694,528114
2004,96.4,0.213,0.215,646372,538560
2005,79.1,0.217,0.218,500634,544584
2006,120.6,0.219,0.217,811052,544799
2007,86.8,0.215,0.216,555758,541306
2008,94.9,0.216,0.213,584255,533654
2009,100.6,0.213,0.21,676068,518731
2010,77,0.203,0.206,435207,505083
2011,125.3,0.203,0.205,767431,497043
2012,73.9,0.199,0.203,453829,491259
2013,83.4,0.202,0.202,511552,484891
2014,79.6,0.202,0.201,464622,479508
2015,67.8,0.2,0.2,388773,474995
2016,47.3,0.205,0.2,256100,472218
