"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,57.1,0.348,0.353,751163,993158
1996,110.7,0.354,0.356,1322089,998430
1997,100.7,0.353,0.358,1236220,1001539
1998,74.5,0.351,0.36,901481,1002975
1999,67,0.358,0.363,853724,1003062
2000,89.9,0.367,0.366,1008821,1005858
2001,69.1,0.369,0.369,840568,1007655
2002,38.6,0.378,0.372,449986,1006900
2003,85.6,0.372,0.374,1017149,1004163
2004,96.4,0.369,0.373,1130813,998412
2005,79.1,0.371,0.372,998613,996359
2006,120.6,0.361,0.369,1344175,989264
2007,86.8,0.363,0.362,1018899,978753
2008,94.9,0.349,0.347,1136336,951130
2009,100.6,0.341,0.332,1060991,919525
2010,77,0.313,0.318,888934,888497
2011,125.3,0.313,0.306,1205376,860337
2012,73.9,0.297,0.294,743024,831880
2013,83.4,0.291,0.282,763859,802501
2014,79.6,0.277,0.27,729096,773987
2015,67.8,0.264,0.26,611964,747191
2016,47.3,0.243,0.25,447150,722042
