"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,1.132,0.215,0.221,6728,11932
1996,2.075,0.224,0.225,13382,12229
1997,2.537,0.229,0.228,17592,12482
1998,1.839,0.219,0.232,11450,12761
1999,1.58,0.227,0.235,11276,13047
2000,1.473,0.245,0.238,11137,13345
2001,1.299,0.233,0.24,8897,13596
2002,0.864,0.241,0.243,6998,13949
2003,2.045,0.255,0.247,16353,14274
2004,2.316,0.261,0.249,19836,14517
2005,1.821,0.247,0.249,13801,14553
2006,2.834,0.266,0.249,25159,14551
2007,2.489,0.248,0.249,20352,14519
2008,1.687,0.247,0.248,12412,14558
2009,1.827,0.263,0.248,15773,14500
2010,2.397,0.236,0.246,16945,14407
2011,2.665,0.257,0.244,23467,14343
2012,1.593,0.249,0.242,12649,14262
2013,1.605,0.246,0.239,12855,14129
2014,1.465,0.229,0.238,10878,14056
2015,1.36,0.228,0.237,9612,14004
2016,1.107,0.223,0.236,7368,14001
