"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.42,4.2173,3.8071,828817,836272
1996,19.53,1.7817,2.4327,589508,579107
1997,20.26,1.0169,1.5688,417233,403838
1998,15.82,1.0494,1.0205,298323,285242
1999,13.17,0.9038,0.6784,206700,206439
2000,15.03,0.3507,0.4653,142009,152959
2001,13.83,0.3678,0.3328,108154,117494
2002,7.7,0.3346,0.245,55226,92761
2003,17.36,0.1476,0.1776,70225,71272
2004,17.09,0.1022,0.1199,52849,53486
2005,13.73,0.0887,0.087,40660,42772
2006,24.52,0.0692,0.0749,53969,37261
2007,16.57,0.07,0.0703,33197,33834
2008,16.49,0.0625,0.0647,33321,30541
2009,17.71,0.0508,0.0579,29728,27756
2010,16.24,0.0561,0.054,29486,26485
2011,26.22,0.0488,0.0534,38154,26340
2012,14.28,0.0508,0.0519,23917,25717
2013,16.28,0.0452,0.0497,24022,24679
2014,14.86,0.0479,0.0471,21517,23453
2015,12.47,0.0466,0.0446,18019,22276
2016,9.08,0.0504,0.0424,13823,21187
