"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,0.586,3.53,3.46,62507,72613
1996,0.907,3.37,3.51,84420,73842
1997,0.903,3.28,3.56,86272,75000
1998,0.837,3.54,3.62,84527,76291
1999,0.592,3.79,3.68,65223,77701
2000,0.783,3.72,3.74,85066,79369
2001,0.66,3.97,3.81,73111,80955
2002,0.376,4.31,3.88,48223,82655
2003,0.765,3.93,3.93,86212,83900
2004,0.837,3.82,3.96,94664,84738
2005,0.778,3.91,3.97,90131,84931
2006,1.223,3.57,3.97,113917,84575
2007,0.71,4.01,3.97,82403,84251
2008,0.782,3.96,3.96,85908,84113
2009,0.905,3.7,3.94,97468,83537
2010,0.664,3.96,3.9,76673,82761
2011,0.83,3.9,3.85,83354,82114
2012,0.824,3.66,3.82,90247,81650
2013,0.808,3.76,3.79,85339,81178
2014,0.716,3.8,3.76,77871,80834
2015,0.572,3.9,3.74,65152,80549
2016,0.472,3.93,3.72,56131,80355
