"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,11.79,0.00764,0.00888,3239,6149
1996,16.13,0.00784,0.00824,4557,5511
1997,18.58,0.00785,0.00758,5221,4818
1998,21.56,0.00752,0.00708,6009,4366
1999,13.07,0.00606,0.00661,2637,3945
2000,16.33,0.00603,0.00612,3234,3455
2001,18.55,0.00582,0.00576,3565,3104
2002,8.42,0.00547,0.00542,1419,2750
2003,19.85,0.00503,0.00501,2896,2349
2004,16.04,0.00453,0.00461,1867,1982
2005,18.72,0.00425,0.00436,1768,1745
2006,24.71,0.00389,0.00431,2391,1696
2007,21.57,0.00407,0.00429,1909,1690
2008,13.4,0.0043,0.00413,1388,1648
2009,24.35,0.00338,0.00379,2217,1526
2010,25.27,0.0033,0.00344,1616,1378
2011,15.86,0.00313,0.00314,1274,1243
2012,16.49,0.00289,0.00287,1184,1124
2013,14.73,0.00267,0.00262,998,1009
2014,15.54,0.00249,0.00239,811,905
2015,10.81,0.00253,0.00218,573,809
2016,11.54,0.0023,0.00199,509,724
